"violation_id","root_cause_group","chain_id","child_table","child_row_id","parent_table","fk_column","fk_value","classification","is_real_business","is_test_demo","parent_recoverable","safe_detach","schema_change_required","fk_nullable","evidence","recommended_action","risk_level","CURRENT_WRITE_PATH","REPRODUCIBLE_RISK","backup_evidence","execution"
"FK-01","GROUP-02","EVENT-7","v05c_club_event_profiles","1","events","event_id","7","AMBIGUOUS_DO_NOT_TOUCH","UNKNOWN","UNKNOWN","SNAPSHOT_ONLY_NOT_APPROVED_REAL_RESTORE","NO","NO","NO","当前 profile #1/event_id=7/QBE-20260630-0001。备份中 events #7=EVT-20260630-000001/Q BAY，创建时间与 profile 同为 2026-06-30T16:37:32，profile 历史列完整一致。正式 v05a_audit_logs #44 记录 2026-07-01T13:57:15 POST /manage/events/7/delete 成功。原父身份可确定，但实际业务/试建用途与删除意图未核实，不能推翻删除决定。","PRESERVE_BLOCKED_REAL_HISTORY","HIGH","app/v05c_club_events.py:create_event→ClubEventService.create_event，父子同事务；delete_safe_draft 子先父后；app/main.py:889 generic_delete 仍有旧入口但 app/database.py:18 FK ON 拦截有关联父删除。","NO_NEW_ORPHAN_ON_REVIEWED_FK_ON_PATH","data/backups/app_before_migrate_all_20260701_093703.db; v05a_audit_logs#44","NOT_EXECUTED"
"FK-02","GROUP-01","OPP-1","v06_collab_tasks","1","v06_opportunities","opportunity_id","1","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","YES","当前行 Test Task；2026-07-03 17:05:10.586716；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-03","GROUP-01","OPP-12","v06_collab_tasks","2","v06_opportunities","opportunity_id","12","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","YES","当前行 Test Task；2026-07-03 22:11:05.036779；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-04","GROUP-01","OPP-13","v06_collab_tasks","3","v06_opportunities","opportunity_id","13","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","YES","当前行 Test Task；2026-07-03 22:28:33.771516；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-05","GROUP-01","OPP-14","v06_collab_tasks","4","v06_opportunities","opportunity_id","14","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","TEST_SNAPSHOT_ONLY_DO_NOT_RESTORE","NO","NO","YES","当前行 Test Task；2026-07-05 08:26:33.010312；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。备份保留父 #14/contacted/is_demo=0，24 条子记录历史列全匹配。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db","NOT_EXECUTED"
"FK-06","GROUP-01","OPP-1","v06_follow_ups","1","v06_opportunities","opportunity_id","1","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 test follow-up；2026-07-03 17:05:10.579743；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-07","GROUP-01","OPP-12","v06_follow_ups","2","v06_opportunities","opportunity_id","12","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 test follow-up；2026-07-03 22:11:05.023154；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-08","GROUP-01","OPP-13","v06_follow_ups","3","v06_opportunities","opportunity_id","13","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 test follow-up；2026-07-03 22:28:33.763844；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
"FK-09","GROUP-01","OPP-14","v06_follow_ups","4","v06_opportunities","opportunity_id","14","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","TEST_SNAPSHOT_ONLY_DO_NOT_RESTORE","NO","NO","NO","当前行 test follow-up；2026-07-05 08:26:33.003024；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。备份保留父 #14/contacted/is_demo=0，24 条子记录历史列全匹配。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db","NOT_EXECUTED"
"FK-10","GROUP-01","OPP-1","v06_timeline_entries","1","v06_opportunities","opportunity_id","1","CONFIRMED_TEST_DEMO_ORPHAN","NO","YES","NO_PARENT_ROW_FOUND","NO","NO","NO","当前行 合作机会「Test Opp」已创建；2026-07-03 17:05:10.571911；actor/created_by=0。所属链同时具备 Test Opp→lead/contacted→test follow-up→Test Task 和四类 Timeline，同秒级顺序吻合 scripts/verify_platform_mvp_v1.py:148-153 的固定验证指纹。不是仅凭名称；Task is_demo=0 不代表真实。已检查备份未找到该父行，但对应 created Timeline 及同链 6 条记录证明测试创建链。scripts/clean_test_opp.py:3,16 仅删除父且未开 FK，可解释孤儿机制；具体历史执行者/日志未获证，不作已证实断言。","DELETE_TEST_CHAIN","LOW_AFTER_AUTHORIZATION_AND_RECHECK","scripts/verify_platform_mvp_v1.py:187 main 已用 temporary_database；app/services/platform_service.py:711-739→UnifiedOpportunityService(detail 校验)+app/database.py FK ON。scripts/clean_test_opp.py 仍可手工直连 data/app.db 仅删父；不是自动运行证据。","YES_MANUAL_CLEAN_SCRIPT_FK_OFF","data/backups/app_before_001_core_domain_unification_20260710_110104_386155.db; data/backups/app_v06c_fk_audit_20260704_171951.db","NOT_EXECUTED"
