"violation_id","child_table","child_rowid","parent_table","fk_index","child_columns","child_values","expected_parent_columns","parent_exists","parent_table_exists","business_object_type"
"FK-01","v05c_club_event_profiles","1","events","0","[""event_id""]","[7]","[""id""]","false","true","ClubEventProfile"
"FK-02","v06_collab_tasks","1","v06_opportunities","0","[""opportunity_id""]","[1]","[""id""]","false","true","Task"
"FK-03","v06_collab_tasks","2","v06_opportunities","0","[""opportunity_id""]","[12]","[""id""]","false","true","Task"
"FK-04","v06_collab_tasks","3","v06_opportunities","0","[""opportunity_id""]","[13]","[""id""]","false","true","Task"
"FK-05","v06_collab_tasks","4","v06_opportunities","0","[""opportunity_id""]","[14]","[""id""]","false","true","Task"
"FK-06","v06_follow_ups","1","v06_opportunities","0","[""opportunity_id""]","[1]","[""id""]","false","true","FollowUp"
"FK-07","v06_follow_ups","2","v06_opportunities","0","[""opportunity_id""]","[12]","[""id""]","false","true","FollowUp"
"FK-08","v06_follow_ups","3","v06_opportunities","0","[""opportunity_id""]","[13]","[""id""]","false","true","FollowUp"
"FK-09","v06_follow_ups","4","v06_opportunities","0","[""opportunity_id""]","[14]","[""id""]","false","true","FollowUp"
"FK-10","v06_timeline_entries","1","v06_opportunities","0","[""opportunity_id""]","[1]","[""id""]","false","true","Timeline"
"FK-11","v06_timeline_entries","2","v06_opportunities","0","[""opportunity_id""]","[1]","[""id""]","false","true","Timeline"
"FK-12","v06_timeline_entries","3","v06_opportunities","0","[""opportunity_id""]","[1]","[""id""]","false","true","Timeline"
"FK-13","v06_timeline_entries","4","v06_opportunities","0","[""opportunity_id""]","[1]","[""id""]","false","true","Timeline"
"FK-14","v06_timeline_entries","23","v06_opportunities","0","[""opportunity_id""]","[12]","[""id""]","false","true","Timeline"
"FK-15","v06_timeline_entries","24","v06_opportunities","0","[""opportunity_id""]","[12]","[""id""]","false","true","Timeline"
"FK-16","v06_timeline_entries","25","v06_opportunities","0","[""opportunity_id""]","[12]","[""id""]","false","true","Timeline"
"FK-17","v06_timeline_entries","26","v06_opportunities","0","[""opportunity_id""]","[12]","[""id""]","false","true","Timeline"
"FK-18","v06_timeline_entries","27","v06_opportunities","0","[""opportunity_id""]","[13]","[""id""]","false","true","Timeline"
"FK-19","v06_timeline_entries","28","v06_opportunities","0","[""opportunity_id""]","[13]","[""id""]","false","true","Timeline"
"FK-20","v06_timeline_entries","29","v06_opportunities","0","[""opportunity_id""]","[13]","[""id""]","false","true","Timeline"
"FK-21","v06_timeline_entries","30","v06_opportunities","0","[""opportunity_id""]","[13]","[""id""]","false","true","Timeline"
"FK-22","v06_timeline_entries","31","v06_opportunities","0","[""opportunity_id""]","[14]","[""id""]","false","true","Timeline"
"FK-23","v06_timeline_entries","32","v06_opportunities","0","[""opportunity_id""]","[14]","[""id""]","false","true","Timeline"
"FK-24","v06_timeline_entries","33","v06_opportunities","0","[""opportunity_id""]","[14]","[""id""]","false","true","Timeline"
"FK-25","v06_timeline_entries","34","v06_opportunities","0","[""opportunity_id""]","[14]","[""id""]","false","true","Timeline"
