intelligence_id,source,title,event_type,subject,priority_subject,subject_candidate_correct,relevant,value_level,resource_signal,existing_resource_context,relationship_context,our_opportunity,next_action,next_action_useful,reviewer_reason
24,"EMA News RSS","New leadership team appointments","unclassified","","NO","NO","YES","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","暂不处理","NO","真实人事信息，但 Ivo Claassen 与 Melanie Carr 尚未形成高置信候选；不据此制造人物或机会"
25,"EMA News RSS","CHMP meeting highlights 20-23 July 2026","unclassified","","NO","NOT_EVALUATED","YES","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","暂不处理","NO","高价值监管事件案例1；没有我们的资源、关系或未解决合作信号"
26,"EMA News RSS","CVMP meeting highlights 14-16 July 2026","unclassified","","NO","NOT_APPLICABLE","NO","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","暂不处理","NO","兽药委员会内容超出当前运营重点"
27,"EMA News RSS","EMA and EISMEA boost cooperation","partnership","","NO","NO","YES","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","暂不处理","NO","高价值合作案例2；合作已经由外部双方发生，不能误算为我们的商机"
28,"EMA News RSS","Emer Cooke speech at European Parliament","speech","","NO","NOT_APPLICABLE","YES","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","暂不处理","NO","公开演讲值得知道，但没有当前运营动作"
29,"EMA News RSS","CHMP meeting highlights 20-23 July 2026","approval","LIBTherapeutics","NO","YES","YES","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","确认主体","YES","高价值审批案例3；LIBTherapeutics 是可解释的新企业候选，需管理员确认，不能直接生成资源或机会"
30,"EMA News RSS","New leadership team appointments","recruitment","","NO","NO","YES","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","暂不处理","NO","人事事件分类正确，但人物候选仍漏识别，属于 Coverage 问题而不是放宽阈值理由"
31,"EMA News RSS","EMA fast tracks pancreatic cancer medicine review","clinical","","NO","NOT_APPLICABLE","YES","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","暂不处理","NO","高价值临床案例4；没有已确认主体上下文和我们可调用的连接能力"
32,"EMA News RSS","PRAC meeting highlights 6-9 July 2026","approval","","NO","NO","YES","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","暂不处理","NO","高价值安全事件案例5；历史分类与伪企业标题候选不能成为我们的机会"
33,"Q-BAY公开项目动态","Q-BAY 金山项目动态","expansion","Q-BAY（上海）生物医药孵化器","YES","YES","YES","LEVEL_2_ACTIONABLE_SIGNAL","POSSIBLE_SUPPLY","YES: Canonical Resource 45 and related resources","YES: approved relationship with evidence","NO","查看Resource并检查Match","YES","优先主体扩张案例6；已有真实 Resource 与 Relationship，可行动但公开文本未确认尚未解决需求，因此不是 Our Opportunity"
34,"上海生物医药外资项目政策","上海生物医药外资高能级项目政策通知","policy","","NO","NOT_APPLICABLE","YES","LEVEL_1_INDUSTRY_INFORMATION","NO_RESOURCE_SIGNAL","NO","NO","NO","暂不处理","NO","高价值政策案例7；行业政策不是我们的具体机会"
