path,category,imported_by,route_registered,script_referenced,template_referenced,replacement,risk_level,recommended_action,evidence
check_account.py,C,,否,否,否,,高,需验证,no static references found
app/analyzer.py,C,,否,否,否,,高,需验证,no static references found
app/crud_config.py,C,,否,否,否,,高,需验证,no static references found
app/database.py,C,,否,否,否,,高,需验证,no static references found
app/entity_analyzer.py,C,,否,否,否,,高,需验证,no static references found
app/identity.py,A,,是,否,否,,低,保留,route registered
app/main.py,A,,是,否,否,,低,保留,route registered
app/models.py,A,,否,否,否,,低,保留,database models
app/models_platform.py,A,,否,否,否,,低,保留,database models
app/navigation.py,C,,否,否,否,,高,需验证,no static references found
app/paste_router.py,A,,是,否,否,,低,保留,route registered
app/routes_platform.py,A,,是,否,否,,低,保留,route registered
app/security.py,C,,否,否,否,,高,需验证,no static references found
app/settings.py,C,,否,否,否,,高,需验证,no static references found
app/v04c1_ingestion.py,A,,是,否,否,,低,保留,route registered
app/v04c_review.py,A,,是,否,否,,低,保留,route registered
app/v04db_prestructure.py,A,,是,否,否,,低,保留,route registered
app/v04d_structuring.py,A,,是,否,否,,低,保留,route registered
app/v04e_entity_resolution.py,A,,是,否,否,,低,保留,route registered
app/v04f_operations.py,A,,是,否,否,,低,保留,route registered
app/v04g_monitoring.py,A,,是,否,否,,低,保留,route registered
app/v04h_recommendations.py,A,,是,否,否,,低,保留,route registered
app/v05a_security.py,A,,是,否,否,,低,保留,route registered
app/v05b_member_import.py,A,,是,否,否,,低,保留,route registered
app/v05c_club_events.py,A,,是,否,否,,低,保留,route registered
app/v05d_member_portal.py,A,,是,否,否,,低,保留,route registered
app/v05e_intelligence.py,A,,是,否,否,,低,保留,route registered
app/v05f_collection.py,A,,是,否,否,,低,保留,route registered
app/v05g_processing.py,A,,是,否,否,,低,保留,route registered
app/v05h_reports.py,A,,是,否,否,,低,保留,route registered
app/v05i_pipeline.py,A,,是,否,否,,低,保留,route registered
app/v05j_research.py,A,,是,否,否,,低,保留,route registered
app/v05kl_operations.py,A,,是,否,否,,低,保留,route registered
app/web_extractor.py,C,,否,否,否,,高,需验证,no static references found
app/__init__.py,C,,否,否,否,,高,需验证,no static references found
scripts/apply_direct_route_fix.py,A,,是,否,否,,低,保留,route registered
scripts/apply_v03b.py,A,,是,否,否,,低,保留,route registered
scripts/apply_v03c.py,A,,是,否,否,,低,保留,route registered
scripts/apply_v04a.py,A,,是,否,否,,低,保留,route registered
scripts/apply_v04b.py,C,,否,否,否,,高,需验证,no static references found
scripts/audit_foreign_keys_v1.py,C,,否,否,否,,高,需验证,no static references found
scripts/audit_suspicious_entities.py,C,,否,否,否,,高,需验证,no static references found
scripts/backup_database.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/build_release_v1.py,C,,否,否,否,,高,需验证,no static references found
scripts/check_all_templates.py,C,,否,否,否,,高,需验证,no static references found
scripts/check_database_config_v1.py,C,,否,否,否,,高,需验证,no static references found
scripts/check_mojibake.py,C,,否,否,否,,高,需验证,no static references found
scripts/check_seed_data.py,C,,否,否,否,,高,需验证,no static references found
scripts/check_source_encoding.py,C,,否,否,否,,高,需验证,no static references found
scripts/check_user_visible_english.py,C,,否,否,否,,高,需验证,no static references found
scripts/cleanup_identity_test_accounts.py,C,,否,否,否,,高,需验证,no static references found
scripts/cleanup_test_data.py,C,,否,否,否,,高,需验证,no static references found
scripts/collect_v04d_context.py,C,,否,否,否,,高,需验证,no static references found
scripts/create_identity_test_accounts.py,C,,否,否,否,,高,需验证,no static references found
scripts/export_database.py,C,,否,否,否,,高,需验证,no static references found
scripts/generate_historical_signals.py,C,,否,否,否,,高,需验证,no static references found
scripts/import_seed_data.py,C,,否,否,否,,高,需验证,no static references found
scripts/init_database.py,C,,否,否,否,,高,需验证,no static references found
scripts/migrate_all.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_domain_consolidation_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_identity_link_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_membership_person_link_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_organization_core_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_platform_mvp_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_rbac_core_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_sqlite_to_postgres.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_user_membership_link_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v04c.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v04c1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v04d.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v04db.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v04e.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v04f.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v04g.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v04h.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05a.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05b.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05c.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05d.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05e.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05f.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05g.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05h.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05i.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05j.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/migrate_v05kl.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/pilot_real_sources.py,C,,否,否,否,,高,需验证,no static references found
scripts/queue_historical_processing.py,C,,否,否,否,,高,需验证,no static references found
scripts/refresh_v04h_recommendations.py,C,,否,否,否,,高,需验证,no static references found
scripts/repair_remaining_foreign_keys_v1.py,C,,否,否,否,,高,需验证,no static references found
scripts/report_membership_person_candidates.py,C,,否,否,否,,高,需验证,no static references found
scripts/report_user_membership_candidates.py,C,,否,否,否,,高,需验证,no static references found
scripts/restore_backup.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/run_collection_worker.py,C,,否,否,否,,高,需验证,no static references found
scripts/run_monitoring_once.py,C,,否,否,否,,高,需验证,no static references found
scripts/run_operational_pilot.py,C,,否,否,否,,高,需验证,no static references found
scripts/run_pipeline_worker.py,C,,否,否,否,,高,需验证,no static references found
scripts/run_processing_worker.py,C,,否,否,否,,高,需验证,no static references found
scripts/run_report_worker.py,C,,否,否,否,,高,需验证,no static references found
scripts/run_scheduler.py,C,,否,否,否,,高,需验证,no static references found
scripts/run_signal_worker.py,C,,否,否,否,,高,需验证,no static references found
scripts/run_worker.py,C,,否,否,否,,高,需验证,no static references found
scripts/seed_demo_platform_v1.py,C,,否,否,否,,高,需验证,no static references found
scripts/seed_v04c1_demo.py,C,,否,否,否,,高,需验证,no static references found
scripts/seed_v04c_demo.py,C,,否,否,否,,高,需验证,no static references found
scripts/seed_v04db_demo.py,C,,否,否,否,,高,需验证,no static references found
scripts/seed_v04d_demo.py,C,,否,否,否,,高,需验证,no static references found
scripts/seed_v04e_demo.py,C,,否,否,否,,高,需验证,no static references found
scripts/self_check.py,C,,否,否,否,,高,需验证,no static references found
scripts/self_check_v03c.py,C,,否,否,否,,高,需验证,no static references found
scripts/self_check_v04a.py,C,,否,否,否,,高,需验证,no static references found
scripts/test_db_utils.py,C,,否,否,否,,高,需验证,no static references found
scripts/test_entity_analyzer.py,C,,否,否,否,,高,需验证,no static references found
scripts/test_paste_analyzer.py,C,,否,否,否,,高,需验证,no static references found
scripts/test_web_extractor.py,C,,否,否,否,,高,需验证,no static references found
scripts/verify_all.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_backup_restore.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_core_pages.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_data_integrity_workflow_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_domain_consolidation_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_identity_link_e2e.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_identity_link_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_identity_membership_access_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_intelligence_crawl_visibility_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_intelligence_full_chain.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_intelligence_pipeline_e2e_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_manual_ingestion.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_membership_access_scope_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_membership_person_link_ui_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_membership_person_link_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
scripts/verify_navigation_consistency_v1.py,D,,否,否,否,,低,保留,migrations/verification/backup scripts
