subject,subject_type,organization_id,identity_status,priority,priority_reason,legal_name,aliases,official_website,website_candidate,website_evidence,monitoring_seed,official_source_count,candidate_source_count,source_status,duplicate_candidates,admin_action_required
Q-BAY（上海）生物医药孵化器,organization,ORG-20260626-000001,IDENTITY_PARTIAL,P2,已有Canonical Resource,,,,,已关联情报:https://www.qianrenwuye.com/index.php?a=index&aid=193&c=View&m=home,YES,1,0,ACTIVE,,NEEDS_ADMIN_CONFIRMATION
Q-BAY赫利克斯菁英俱乐部,organization,ORG-20260626-000002,IDENTITY_PARTIAL,P2,已有Canonical Resource,,,,,,NO,0,0,NO_SOURCE,,NEEDS_ADMIN_CONFIRMATION
杭州钱塘区和达高科相关平台,organization,ORG-20260626-000003,IDENTITY_AMBIGUOUS,P2,已有Canonical Resource,,,,,,NO,0,0,NO_SOURCE,,NEEDS_ADMIN_CONFIRMATION
上市公司俱乐部,organization,ORG-20260626-000005,IDENTITY_AMBIGUOUS,P2,已有Canonical Resource,,,,,,NO,0,0,NO_SOURCE,上市公司俱乐部专家组(82%) | 上市公司俱乐部创投分会(78%),NEEDS_ADMIN_CONFIRMATION
上市公司俱乐部创投分会,organization,ORG-20260626-000006,IDENTITY_AMBIGUOUS,P3,已有已审核Canonical Relationship,,,,,,NO,0,0,NO_SOURCE,上市公司俱乐部(78%),NEEDS_ADMIN_CONFIRMATION
世界顶尖科学家国际联合科学实验室（WLA Labs）相关历史网络,organization,ORG-20260626-000008,IDENTITY_AMBIGUOUS,P2,已有Canonical Resource,,,,,,NO,0,0,NO_SOURCE,,NEEDS_ADMIN_CONFIRMATION
并就相关话题受邀深圳中欧创新实验室、华创证券、丹纳赫行业交流、长三角创新中心,organization,ORG-20260630-000001,WRONG_ENTITY,P1,Q-BAY会员主体,,,,,,NO,0,0,NO_SOURCE,,REMOVE_FROM_PRIORITY
某细胞治疗生物科技公司,organization,ORG-20260701-000001,INSUFFICIENT_DATA,P1,Q-BAY会员主体,,,,,,NO,0,0,NO_SOURCE,,REMOVE_FROM_PRIORITY
Admin,person,PER-20260626-000001,WRONG_ENTITY,P3,已有已审核Canonical Relationship,,,,,,NO,0,0,NO_SOURCE,,REMOVE_FROM_PRIORITY
许毛毛,person,PER-20260626-000002,IDENTITY_PARTIAL,P3,已有已审核Canonical Relationship,,,,,,NO,0,0,NO_SOURCE,,NEEDS_ADMIN_CONFIRMATION
链接官群体,person,PER-20260626-000003,WRONG_ENTITY,P3,已有已审核Canonical Relationship,,,,,,NO,0,0,NO_SOURCE,,REMOVE_FROM_PRIORITY
陈绵辉,person,PER-20260630-000017,IDENTITY_PARTIAL,P1,Q-BAY会员主体,,,,,,NO,0,0,NO_SOURCE,,NEEDS_ADMIN_CONFIRMATION
陶伟龙,person,PER-20260701-000001,IDENTITY_PARTIAL,P1,Q-BAY会员主体,,,,,,NO,0,0,NO_SOURCE,,NEEDS_ADMIN_CONFIRMATION
