organization_id,current_name,subject_type,legal_name,chinese_name,english_name,short_name,brand_name,aliases,parent_company,subsidiary_of,city,country,website,email_domain,Q-BAY_context,relationship_context,resource_context,intelligence_context,identity_status,problem_reason,recommended_action
ORG-20260626-000001,Q-BAY（上海）生物医药孵化器,organization,,Q-BAY（上海）生物医药孵化器,,,,,,,上海市浦东新区张江,,,,Q-BAY生态主体,Canonical Relationship 1条,Canonical Resource 3项,正式Intelligence 1条,IDENTITY_PARTIAL,主体有Canonical业务依据，但法定名称、别名或官网仍需管理员补全,NEEDS_ADMIN_CONFIRMATION
ORG-20260626-000002,Q-BAY赫利克斯菁英俱乐部,organization,,Q-BAY赫利克斯菁英俱乐部,,,,,,,上海/沪杭,,,,Q-BAY生态主体,Canonical Relationship 1条,Canonical Resource 1项,正式Intelligence 0条,IDENTITY_PARTIAL,主体有Canonical业务依据，但法定名称、别名或官网仍需管理员补全,NEEDS_ADMIN_CONFIRMATION
ORG-20260626-000003,杭州钱塘区和达高科相关平台,organization,,杭州钱塘区和达高科相关平台,,,,,,,浙江省杭州市钱塘区,,,,无直接会员记录,Canonical Relationship 1条,Canonical Resource 1项,正式Intelligence 0条,IDENTITY_AMBIGUOUS,当前名称描述业务网络而非唯一法定主体,NEEDS_ADMIN_CONFIRMATION
ORG-20260626-000005,上市公司俱乐部,organization,,上市公司俱乐部,,,,,,,全国/上海,,,,无直接会员记录,Canonical Relationship 2条,Canonical Resource 1项,正式Intelligence 0条,IDENTITY_AMBIGUOUS,名称无法唯一识别运营法人或正式机构,NEEDS_ADMIN_CONFIRMATION
ORG-20260626-000006,上市公司俱乐部创投分会,organization,,上市公司俱乐部创投分会,,,,,,,全国/上海,,,,无直接会员记录,Canonical Relationship 1条,Canonical Resource 0项,正式Intelligence 0条,IDENTITY_AMBIGUOUS,名称无法唯一识别运营法人或正式机构,NEEDS_ADMIN_CONFIRMATION
ORG-20260626-000008,世界顶尖科学家国际联合科学实验室（WLA Labs）相关历史网络,organization,,世界顶尖科学家国际联合科学实验室（WLA Labs）相关历史网络,,,,,,,上海,,,,无直接会员记录,Canonical Relationship 0条,Canonical Resource 1项,正式Intelligence 0条,IDENTITY_AMBIGUOUS,当前名称描述业务网络而非唯一法定主体,NEEDS_ADMIN_CONFIRMATION
ORG-20260630-000001,并就相关话题受邀深圳中欧创新实验室、华创证券、丹纳赫行业交流、长三角创新中心,organization,,,,,,,,,,,,,Q-BAY会员,Canonical Relationship 0条,Canonical Resource 0项,正式Intelligence 0条,WRONG_ENTITY,履历句子被错误抽取为Organization,REMOVE_FROM_PRIORITY
ORG-20260701-000001,某细胞治疗生物科技公司,organization,,,,,,,,,,,,,Q-BAY会员,Canonical Relationship 0条,Canonical Resource 1项,正式Intelligence 0条,INSUFFICIENT_DATA,占位或匿名主体，无法确认正式身份,REMOVE_FROM_PRIORITY
PER-20260626-000001,Admin,person,,,,,,,,,,,,,无直接会员记录,Canonical Relationship 1条,Canonical Resource 0项,正式Intelligence 0条,WRONG_ENTITY,系统角色或群体角色不应作为自然人主体,REMOVE_FROM_PRIORITY
PER-20260626-000002,许毛毛,person,,许毛毛,,,,,,,,,,,无直接会员记录,Canonical Relationship 2条,Canonical Resource 0项,正式Intelligence 0条,IDENTITY_PARTIAL,主体有Canonical业务依据，但法定名称、别名或官网仍需管理员补全,NEEDS_ADMIN_CONFIRMATION
PER-20260626-000003,链接官群体,person,,,,,,,,,,,,,无直接会员记录,Canonical Relationship 1条,Canonical Resource 0项,正式Intelligence 0条,WRONG_ENTITY,系统角色或群体角色不应作为自然人主体,REMOVE_FROM_PRIORITY
PER-20260630-000017,陈绵辉,person,,陈绵辉,,,,,,,,,,,Q-BAY会员,Canonical Relationship 0条,Canonical Resource 0项,正式Intelligence 0条,IDENTITY_PARTIAL,主体有Canonical业务依据，但法定名称、别名或官网仍需管理员补全,NEEDS_ADMIN_CONFIRMATION
PER-20260701-000001,陶伟龙,person,,陶伟龙,,,,,,,,,,,Q-BAY会员,Canonical Relationship 0条,Canonical Resource 0项,正式Intelligence 0条,IDENTITY_PARTIAL,主体有Canonical业务依据，但法定名称、别名或官网仍需管理员补全,NEEDS_ADMIN_CONFIRMATION
