"table","record_id","membership_id_before","membership_id_after","classification","action","old_fk_target","new_fk_target","reason","root_cause_group","opportunity_id","executed_at","field","before_value","after_value"
"v05b_member_contacts","1","1","1","EXACT_IDENTITY_MATCH","SCHEMA_FK_TARGET_REPAIRED","v04f_club_memberships_old(id)","v04f_club_memberships(id)","Approved four-table FK repair; this row was preserved, not updated or deleted; membership identity and all business values unchanged.","","","","","",""
"v05b_member_contacts","2","2","2","EXACT_IDENTITY_MATCH","SCHEMA_FK_TARGET_REPAIRED","v04f_club_memberships_old(id)","v04f_club_memberships(id)","Approved four-table FK repair; this row was preserved, not updated or deleted; membership identity and all business values unchanged.","","","","","",""
"v04f_club_offerings","1","2","2","EXACT_IDENTITY_MATCH","SCHEMA_FK_TARGET_REPAIRED","v04f_club_memberships_old(id)","v04f_club_memberships(id)","Approved four-table FK repair; this row was preserved, not updated or deleted; membership identity and all business values unchanged.","","","","","",""
"v05d_member_accounts","1","1","1","EXACT_IDENTITY_MATCH","SCHEMA_FK_TARGET_REPAIRED","v04f_club_memberships_old(id)","v04f_club_memberships(id)","Approved four-table FK repair; this row was preserved, not updated or deleted; membership identity and all business values unchanged.","","","","","",""
"v05d_member_notifications","1","1","1","EXACT_IDENTITY_MATCH","SCHEMA_FK_TARGET_REPAIRED","v04f_club_memberships_old(id)","v04f_club_memberships(id)","Approved four-table FK repair; this row was preserved, not updated or deleted; membership identity and all business values unchanged.","","","","","",""
"v06_collab_tasks","1","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","1","2026-09-14","","",""
"v06_collab_tasks","2","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","12","2026-09-14","","",""
"v06_collab_tasks","3","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","13","2026-09-14","","",""
"v06_collab_tasks","4","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","14","2026-09-14","","",""
"v06_follow_ups","1","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","1","2026-09-14","","",""
"v06_follow_ups","2","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","12","2026-09-14","","",""
"v06_follow_ups","3","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","13","2026-09-14","","",""
"v06_follow_ups","4","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","14","2026-09-14","","",""
"v06_timeline_entries","1","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","1","2026-09-14","","",""
"v06_timeline_entries","2","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","1","2026-09-14","","",""
"v06_timeline_entries","3","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","1","2026-09-14","","",""
"v06_timeline_entries","4","","","CONFIRMED_TEST_DEMO_ORPHAN","DELETE","","","Authorized GROUP-01 whitelist; reviewed row unchanged before deletion; PRE ASTRA_R1_PRE_GROUP01_CLEANUP_20260914_090701.db; FK ON transaction verified.","GROUP-01","1","2026-09-14","","",""
