level_1_nav,level_2_entry,route,page_or_tab,target_user,current_role,actual_data_source,actual_main_action,business_question_answered,golden_path_relevance,independent_value,current_problem,target_role,decision,destination_if_merged,ui_priority,rc1_2b_scope,reason
工作台,工作台首页,/platform,工作台,普通产业运营用户,USER_PRODUCT,"GoldenLoopService.priority_feed; v06_follow_ups; v05h_intelligence_feedback",打开最高优先情报或跟进,今天最值得处理什么,高,高,工作台核心已成立但需更清晰的信息层级,USER_PRODUCT,RESTRUCTURE,,P0,重排现有区块并统一视觉,保留为普通用户唯一首页
工作台,今天值得处理,/platform,优先情报区,普通产业运营用户,USER_PRODUCT,"已发布非demo Intelligence; Canonical Subject/Resource/Relationship/Opportunity; 用户反馈",查看并决定下一步或暂不处理,哪条动态需要我今天采取行动,高,高,同页可出现多个同权重主按钮,USER_PRODUCT,KEEP,,P0,保持规则并收敛动作层级,现有数据和确定性排序已能支撑核心工作
工作台,今天已忽略,/platform,恢复区,当前用户,USER_PRODUCT,v05h_intelligence_feedback,恢复到今日列表,刚才忽略的事项能否恢复,中,中,入口只在存在已忽略项时出现,USER_PRODUCT,KEEP,,P1,改善提示和恢复入口,用户级追加反馈且不改Intelligence
工作台,我的工作区,/workspace,业务概览,普通产业运营用户,USER_PRODUCT,"v06_collab_tasks; v06_opportunities; contact intents; v06_market_resources; v06_favorites",查看个人工作汇总,我的任务和合作集中在哪里,中,低,与/platform重复且二级tab名与实际页面不一致,USER_PRODUCT,MERGE,/platform,P0,合并高频内容,避免两个工作台
工作台,我的待办,/workspace?tab=todos,待办Tab,当前用户,USER_PRODUCT,v06_collab_tasks,打开待办,我现在要完成什么,高,高,query tab未实现且部分任务链接无有效目标,USER_PRODUCT,MERGE,/platform,P0,合并到工作台并修正已有入口,高频工作应在首页
工作台,最近跟进,/workspace?tab=followups,跟进Tab,当前用户,USER_PRODUCT,v06_follow_ups,继续跟进,哪些机会最近需要推进,高,高,query tab未实现且/workspace未渲染FollowUp,USER_PRODUCT,MERGE,/platform,P0,合并最近跟进区,高频工作应在首页
工作台,我的收藏,/workspace?tab=favorites,收藏Tab,当前用户,USER_PRODUCT,v06_favorites,打开收藏对象,我保存了哪些对象,低,中,route查询但模板未显示且当前记录为0,UTILITY,MOVE_TO_UTILITY,用户工具菜单,P2,移动入口并保留现有数据,便利功能不应占工作台主导航
工作台,最近访问,/workspace?tab=recent,最近访问Tab,当前用户,USER_PRODUCT,未发现可用recent_views持久化来源,打开最近对象,我刚看过什么,低,低,route未提供数据且无可靠持久化,UTILITY,HIDE,,P2,隐藏入口,不能展示无数据逻辑的空壳能力
工作台,待处理联系,/workspace,联系意向区,当前用户,USER_PRODUCT,pending contact intents,查看人物并处理联系,哪些联系请求待处理,中,中,入口目标与正式人物详情路径不一致,USER_PRODUCT,MERGE,/platform或企业与人物,P1,合并并修正上下文入口,属于待办而非独立页面
工作台,我的合作,/workspace,合作区,当前用户,USER_PRODUCT,v06_opportunities,打开机会,我发起的合作进展如何,高,中,与跟进列表重复,USER_PRODUCT,MERGE,/opportunities,P1,合并到跟进,Opportunity已有正式列表
